epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689443,0.025,3.688736,0.025,0.1375,3.68866,0.025,0.1375
2,3.689498,0.0375,3.68828,0.025,0.1375,3.688232,0.025,0.125
3,3.687139,0.020833,3.68767,0.025,0.125,3.687644,0.0375,0.15
4,3.687137,0.020833,3.686934,0.025,0.125,3.686919,0.0375,0.1375
5,3.68688,0.033333,3.686119,0.025,0.1625,3.686085,0.0375,0.1625
6,3.684403,0.033333,3.685172,0.0375,0.1625,3.685143,0.0375,0.175
7,3.685009,0.016667,3.684177,0.0625,0.175,3.684129,0.0375,0.1875
8,3.68313,0.041667,3.683107,0.0875,0.1875,3.683018,0.05,0.2125
9,3.682382,0.0375,3.681866,0.075,0.1875,3.681768,0.05,0.2125
10,3.683534,0.0375,3.68049,0.0875,0.2,3.68043,0.0625,0.2125
11,3.679151,0.0625,3.678949,0.0875,0.2375,3.678918,0.075,0.225
12,3.677657,0.045833,3.677156,0.0875,0.225,3.677126,0.075,0.2375
13,3.676033,0.058333,3.675093,0.0625,0.225,3.675023,0.075,0.25
14,3.674869,0.05,3.672643,0.0625,0.2125,3.672529,0.0625,0.25
15,3.671237,0.058333,3.669707,0.1125,0.2125,3.669533,0.0875,0.225
16,3.667743,0.0625,3.666026,0.1125,0.1875,3.665799,0.1,0.225
17,3.663754,0.058333,3.66162,0.1,0.2,3.66131,0.1,0.2125
18,3.657674,0.05,3.656063,0.1,0.2125,3.655656,0.0875,0.2
19,3.651971,0.0625,3.649039,0.1,0.225,3.648566,0.0875,0.2
20,3.64523,0.05,3.640257,0.1,0.225,3.639534,0.0875,0.2125
21,3.63705,0.070833,3.629226,0.1,0.25,3.628118,0.0875,0.2125
22,3.617815,0.079167,3.614396,0.1,0.2375,3.612914,0.0875,0.2125
23,3.611431,0.058333,3.594891,0.1,0.2125,3.593325,0.0875,0.2
24,3.585792,0.066667,3.569799,0.1,0.225,3.568181,0.0875,0.225
25,3.561663,0.079167,3.536845,0.1,0.25,3.535693,0.0875,0.25
26,3.526312,0.083333,3.494389,0.1,0.25,3.493543,0.0875,0.25
27,3.485583,0.091667,3.438976,0.1,0.225,3.43845,0.1,0.25
28,3.420269,0.095833,3.364333,0.1125,0.25,3.363309,0.1,0.275
29,3.369834,0.079167,3.263607,0.1125,0.425,3.26111,0.1125,0.4625
30,3.250089,0.125,3.131109,0.1625,0.525,3.127871,0.2,0.525
31,3.165311,0.154167,2.95912,0.2125,0.6375,2.954189,0.2375,0.6375
32,2.999792,0.166667,2.746738,0.2375,0.675,2.737435,0.3,0.675
33,2.782168,0.266667,2.509373,0.325,0.6875,2.486622,0.35,0.75
34,2.589434,0.220833,2.26977,0.4,0.7,2.205673,0.475,0.7875
35,2.486444,0.245833,2.041591,0.3875,0.825,1.980829,0.4625,0.825
36,2.226227,0.333333,1.867101,0.475,0.8875,1.749035,0.6,0.8875
37,2.097451,0.354167,1.713805,0.525,0.8625,1.611781,0.6,0.8625
38,1.921768,0.358333,1.580988,0.525,0.8875,1.522095,0.575,0.9
39,1.754889,0.4625,1.528996,0.525,0.8875,1.502891,0.5625,0.9
40,1.64072,0.479167,1.406337,0.5625,0.9125,1.338649,0.6125,0.9125
41,1.531589,0.508333,1.25788,0.6125,0.925,1.175622,0.6625,0.925
42,1.295592,0.591667,1.314146,0.575,0.9125,1.180036,0.6,0.9375
43,1.340891,0.583333,1.246314,0.625,0.925,1.224167,0.6625,0.9375
44,1.319986,0.5375,1.28488,0.65,0.9,1.148135,0.725,0.95
45,1.300555,0.5875,1.146809,0.6625,0.9375,1.187869,0.675,0.9375
46,1.22553,0.595833,0.984212,0.7125,0.9375,0.956406,0.75,0.95
47,1.18912,0.608333,1.013224,0.6625,0.95,0.917696,0.75,0.9625
48,1.209759,0.620833,0.978771,0.6875,0.9125,0.864489,0.7625,0.9625
49,1.035386,0.6625,0.975151,0.75,0.95,0.855849,0.7625,0.975
50,1.02921,0.654167,0.901752,0.725,0.95,0.864652,0.7875,0.975
51,1.049598,0.641667,0.877745,0.725,0.925,0.788479,0.775,0.975
52,0.979323,0.666667,0.871458,0.725,0.975,0.792392,0.75,0.9625
53,1.002955,0.6625,0.766929,0.7625,0.975,0.826506,0.75,0.975
54,0.844972,0.683333,0.765613,0.7625,0.95,0.789829,0.7625,0.9875
55,0.933925,0.6625,0.711376,0.7875,0.975,0.715446,0.8,1.0
56,0.850409,0.691667,0.783806,0.8,0.95,0.737135,0.7875,0.975
57,0.808292,0.7375,0.780896,0.75,0.95,0.793689,0.775,0.9625
58,0.812728,0.716667,0.809689,0.7375,0.9625,0.980824,0.7375,0.9625
59,0.94632,0.658333,0.863374,0.7,0.9625,0.823242,0.775,0.975
60,0.91008,0.7375,0.716191,0.7125,0.975,0.871664,0.75,0.9875
61,0.93764,0.7,0.764828,0.75,0.975,0.920859,0.75,0.975
62,0.990367,0.675,0.725334,0.7625,0.9625,0.93878,0.725,0.9625
63,0.811197,0.733333,0.617234,0.8125,0.975,0.762433,0.7875,0.9875
64,0.710095,0.741667,0.704808,0.75,0.975,0.763385,0.7875,0.975
65,0.844693,0.716667,0.644869,0.825,0.975,0.735106,0.85,0.9875
66,0.765318,0.729167,0.709421,0.7875,0.95,0.873695,0.7875,0.975
67,0.854649,0.7125,0.757094,0.7375,0.9375,0.94261,0.7625,0.9625
68,0.796912,0.720833,0.806088,0.7125,0.95,0.859942,0.75,0.9875
69,0.928585,0.716667,0.74612,0.725,0.975,0.716427,0.7625,1.0
70,0.740464,0.741667,0.662862,0.7875,0.9875,0.716833,0.8,0.9875
71,0.68268,0.779167,0.658139,0.825,0.9875,0.8396,0.7625,0.9625
72,0.779437,0.733333,0.666003,0.7875,0.975,0.814767,0.75,0.975
73,0.837701,0.733333,0.615321,0.8,0.975,0.657679,0.825,0.975
74,0.667133,0.770833,0.756318,0.75,0.975,0.755679,0.775,0.975
75,0.731088,0.783333,0.677742,0.7625,0.9875,0.739543,0.825,0.9625
76,0.691701,0.783333,0.583069,0.85,0.9875,0.676481,0.8375,0.9625
77,0.66097,0.766667,0.583575,0.8125,0.9875,0.712304,0.85,0.9625
78,0.624362,0.783333,0.575011,0.7875,0.975,0.705364,0.8375,0.975
79,0.643244,0.7625,0.56894,0.8,0.9875,0.620709,0.85,0.9875
80,0.635351,0.775,0.65034,0.8125,0.9625,0.595762,0.8625,0.9875
81,0.623804,0.7875,0.624401,0.8125,0.975,0.594649,0.875,0.9875
82,0.733501,0.75,0.569395,0.8125,0.9875,0.601111,0.8875,0.975
83,0.605414,0.791667,0.548608,0.825,0.9875,0.65228,0.8625,0.975
84,0.631688,0.8,0.529055,0.825,0.9875,0.667889,0.85,0.975
85,0.602535,0.791667,0.522311,0.825,0.9875,0.646938,0.7875,0.975
86,0.49281,0.8375,0.531518,0.8,0.9875,0.622656,0.8,0.9875
87,0.591785,0.791667,0.507782,0.8125,0.9875,0.595542,0.85,0.9875
88,0.568029,0.808333,0.539278,0.8,0.9875,0.584725,0.8375,0.9875
89,0.547938,0.804167,0.533867,0.7875,0.9875,0.63348,0.8375,0.9875
90,0.663549,0.7875,0.584801,0.775,0.9875,0.712848,0.8125,0.975
91,0.472811,0.820833,0.603944,0.775,0.975,0.633691,0.8125,0.9875
92,0.543908,0.816667,0.482889,0.8375,0.975,0.543651,0.8625,0.9875
93,0.598903,0.779167,0.469528,0.85,0.9875,0.572328,0.875,0.9875
94,0.504359,0.8375,0.502383,0.8625,0.9875,0.645016,0.8375,0.9875
95,0.600136,0.804167,0.483914,0.85,0.975,0.674221,0.85,0.9875
96,0.430992,0.85,0.512831,0.85,0.975,0.693503,0.7875,0.975
97,0.50637,0.825,0.521372,0.8625,0.975,0.702177,0.8125,0.975
98,0.540255,0.8,0.558282,0.8375,0.975,0.666653,0.8,0.9875
99,0.576255,0.8125,0.535213,0.85,0.975,0.68411,0.8125,0.9875
100,0.455285,0.854167,0.526075,0.8375,0.95,0.629547,0.8,0.9875
