epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.700873,0.033333,3.692284,0.025,0.125,3.691711,0.025,0.125
2,3.69894,0.029167,3.691502,0.025,0.125,3.690963,0.025,0.125
3,3.691873,0.025,3.691039,0.025,0.1125,3.690487,0.025,0.125
4,3.693175,0.025,3.690902,0.025,0.1125,3.690096,0.025,0.1375
5,3.693279,0.033333,3.690601,0.025,0.1,3.689801,0.0375,0.125
6,3.689095,0.033333,3.69038,0.025,0.125,3.689587,0.025,0.125
7,3.688974,0.041667,3.690165,0.025,0.1125,3.689592,0.025,0.125
8,3.693043,0.020833,3.689936,0.025,0.125,3.689376,0.025,0.1
9,3.687924,0.041667,3.68979,0.025,0.125,3.689311,0.025,0.1125
10,3.696741,0.041667,3.689803,0.025,0.1125,3.689332,0.025,0.125
11,3.687566,0.016667,3.689831,0.025,0.125,3.689457,0.025,0.125
12,3.689332,0.025,3.689722,0.025,0.125,3.689536,0.025,0.1125
13,3.687457,0.020833,3.68975,0.025,0.1,3.689553,0.025,0.1125
14,3.696956,0.016667,3.689772,0.025,0.125,3.689601,0.025,0.1375
15,3.692769,0.0375,3.689811,0.025,0.125,3.689767,0.025,0.125
16,3.690937,0.0125,3.689896,0.025,0.125,3.6896,0.025,0.125
17,3.692693,0.0125,3.68991,0.025,0.125,3.689641,0.025,0.125
18,3.691134,0.025,3.689934,0.025,0.125,3.689634,0.025,0.1375
19,3.690848,0.020833,3.689892,0.025,0.125,3.689634,0.025,0.1375
20,3.692715,0.045833,3.689787,0.025,0.125,3.689677,0.025,0.1125
21,3.696741,0.020833,3.689768,0.025,0.125,3.689635,0.025,0.125
22,3.691379,0.0125,3.689765,0.025,0.125,3.689594,0.025,0.125
23,3.688445,0.008333,3.689792,0.025,0.125,3.689663,0.025,0.125
24,3.690111,0.020833,3.689807,0.025,0.125,3.689649,0.0375,0.125
25,3.690212,0.020833,3.689778,0.025,0.125,3.689676,0.0125,0.125
26,3.686815,0.041667,3.689774,0.025,0.125,3.689652,0.025,0.125
27,3.687781,0.016667,3.689705,0.025,0.125,3.689606,0.025,0.1375
28,3.692369,0.025,3.689723,0.025,0.125,3.689603,0.025,0.1125
29,3.692732,0.008333,3.689723,0.025,0.1375,3.68962,0.025,0.15
30,3.689154,0.016667,3.689779,0.025,0.125,3.689538,0.025,0.1125
31,3.688316,0.025,3.689797,0.025,0.125,3.689481,0.025,0.125
32,3.687332,0.016667,3.689764,0.025,0.125,3.689456,0.025,0.125
33,3.689477,0.020833,3.689704,0.025,0.125,3.689492,0.025,0.125
34,3.687231,0.020833,3.689606,0.025,0.125,3.689492,0.025,0.125
35,3.689824,0.016667,3.689589,0.025,0.1125,3.689514,0.025,0.125
36,3.689834,0.020833,3.68962,0.025,0.125,3.689542,0.025,0.125
37,3.694486,0.029167,3.689604,0.025,0.1,3.689537,0.025,0.125
38,3.686552,0.020833,3.689538,0.025,0.1125,3.68953,0.025,0.125
39,3.687174,0.016667,3.689503,0.025,0.1125,3.689528,0.025,0.15
40,3.68888,0.033333,3.689517,0.025,0.0875,3.68948,0.025,0.1625
41,3.68232,0.029167,3.689559,0.025,0.125,3.689495,0.025,0.15
42,3.686685,0.016667,3.689589,0.0125,0.125,3.689491,0.025,0.1375
43,3.689125,0.0375,3.689566,0.025,0.125,3.689491,0.0375,0.15
44,3.690685,0.045833,3.689538,0.0125,0.125,3.689471,0.05,0.125
45,3.691882,0.0125,3.689534,0.025,0.1,3.689437,0.025,0.175
46,3.687474,0.029167,3.689533,0.025,0.1125,3.689414,0.025,0.15
47,3.688941,0.025,3.689479,0.025,0.125,3.68945,0.025,0.1625
48,3.687292,0.020833,3.68941,0.025,0.1125,3.689431,0.025,0.1125
49,3.686837,0.0375,3.689393,0.025,0.1,3.689463,0.025,0.125
50,3.685207,0.029167,3.689396,0.025,0.1,3.68949,0.025,0.1375
51,3.690013,0.033333,3.689415,0.025,0.1,3.689478,0.025,0.175
52,3.691447,0.029167,3.689424,0.025,0.1,3.689468,0.025,0.1375
53,3.688101,0.020833,3.689411,0.0375,0.125,3.68946,0.025,0.1375
54,3.688398,0.0375,3.689378,0.025,0.1375,3.689425,0.0375,0.125
55,3.687778,0.0125,3.689383,0.025,0.1125,3.689417,0.025,0.1375
56,3.688882,0.045833,3.689372,0.025,0.1375,3.689443,0.025,0.125
57,3.688432,0.020833,3.689372,0.025,0.1375,3.689382,0.025,0.1375
58,3.686723,0.025,3.689323,0.025,0.125,3.689314,0.025,0.125
59,3.688959,0.0375,3.689328,0.025,0.125,3.689343,0.025,0.125
60,3.685959,0.029167,3.689327,0.025,0.125,3.689346,0.025,0.0875
