epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.690527,0.020833,3.688747,0.025,0.1375,3.688449,0.0125,0.125
2,3.690181,0.033333,3.688041,0.025,0.175,3.687772,0.025,0.175
3,3.686104,0.029167,3.687071,0.025,0.1875,3.686825,0.025,0.175
4,3.686552,0.029167,3.685958,0.025,0.2,3.685801,0.025,0.1875
5,3.685759,0.029167,3.684881,0.025,0.2,3.684689,0.025,0.1875
6,3.682033,0.0375,3.683777,0.025,0.1875,3.683465,0.025,0.1875
7,3.683318,0.0375,3.682554,0.0375,0.2,3.682174,0.0375,0.1875
8,3.681169,0.041667,3.681065,0.0375,0.2375,3.680724,0.0375,0.175
9,3.679816,0.0375,3.679225,0.0375,0.225,3.679012,0.0625,0.1875
10,3.68184,0.033333,3.677254,0.075,0.2125,3.677083,0.0625,0.2
11,3.674562,0.054167,3.675068,0.0875,0.2125,3.674955,0.0625,0.175
12,3.673947,0.0375,3.672539,0.075,0.2375,3.672439,0.0625,0.2
13,3.669326,0.058333,3.669533,0.075,0.25,3.669515,0.075,0.225
14,3.670189,0.041667,3.66582,0.075,0.2375,3.665906,0.075,0.225
15,3.66503,0.066667,3.66125,0.0875,0.2375,3.661424,0.075,0.225
16,3.660324,0.058333,3.655457,0.0875,0.225,3.655696,0.075,0.2375
17,3.652988,0.058333,3.648414,0.0875,0.2375,3.648736,0.0875,0.1875
18,3.646271,0.05,3.639511,0.0875,0.225,3.640009,0.0875,0.2
19,3.633757,0.066667,3.627854,0.0875,0.2125,3.628885,0.0875,0.175
20,3.627586,0.041667,3.613039,0.0875,0.2,3.614671,0.0875,0.175
21,3.60939,0.058333,3.594177,0.0875,0.2125,3.596288,0.0875,0.1875
22,3.584667,0.0625,3.569254,0.0875,0.225,3.571893,0.0875,0.1875
23,3.565824,0.070833,3.536381,0.0875,0.25,3.539822,0.0875,0.2
24,3.530993,0.0625,3.492683,0.0875,0.2625,3.497483,0.0875,0.25
25,3.489326,0.0875,3.433365,0.0875,0.3375,3.440566,0.0875,0.2875
26,3.431797,0.1,3.35329,0.1,0.4375,3.364106,0.1,0.4
27,3.372006,0.095833,3.240922,0.1625,0.525,3.253383,0.1625,0.55
28,3.228126,0.158333,3.074963,0.2,0.6,3.089135,0.2125,0.6375
29,3.100404,0.158333,2.873372,0.2625,0.65,2.880897,0.25,0.7
30,2.922616,0.2125,2.632412,0.3,0.675,2.62394,0.3125,0.8125
31,2.684521,0.225,2.367671,0.35,0.8,2.330694,0.3875,0.875
32,2.506331,0.2375,2.099123,0.4,0.8625,2.061218,0.4625,0.9125
33,2.234003,0.3375,1.895047,0.4625,0.8375,1.852251,0.5375,0.9
34,2.179187,0.341667,1.736845,0.5375,0.875,1.695248,0.55,0.8625
35,2.138057,0.3375,1.687249,0.4625,0.925,1.592493,0.625,0.9125
36,2.084236,0.316667,1.756454,0.4625,0.85,1.635804,0.5625,0.8625
37,1.958469,0.383333,1.595487,0.525,0.8875,1.577721,0.5875,0.85
38,1.891861,0.4,1.534737,0.6,0.925,1.509876,0.5875,0.9125
39,1.767015,0.445833,1.459181,0.5875,0.9,1.390812,0.6125,0.9125
40,1.595898,0.508333,1.310176,0.575,0.9375,1.418509,0.6,0.9125
41,1.479607,0.525,1.171759,0.625,0.9625,1.149835,0.6875,0.95
42,1.281307,0.5875,1.255594,0.5875,0.95,1.131797,0.675,0.9375
43,1.325311,0.554167,1.110922,0.65,0.95,1.057602,0.7125,0.95
44,1.430397,0.529167,1.139867,0.575,0.9625,1.097924,0.6375,0.9375
45,1.321802,0.554167,1.166978,0.625,0.9375,1.134121,0.6625,0.9625
46,1.35398,0.529167,1.093699,0.625,0.9625,1.050665,0.6375,0.975
47,1.152354,0.595833,1.027122,0.6875,0.9375,1.008165,0.725,0.9375
48,1.2663,0.566667,0.967648,0.7125,0.9625,1.009058,0.7125,0.95
49,1.224438,0.595833,0.931608,0.7,0.95,0.926586,0.6875,0.9625
50,1.344999,0.545833,1.012189,0.6625,0.95,1.097234,0.6375,0.95
51,1.146456,0.641667,1.065881,0.7,0.925,1.052118,0.6625,0.9625
52,1.250795,0.579167,0.954834,0.6625,0.975,0.973889,0.7125,0.95
53,1.230934,0.579167,0.940443,0.725,0.9625,0.981853,0.7625,0.9625
54,1.035364,0.65,0.937502,0.7125,0.975,0.917083,0.8125,0.9625
55,1.18042,0.591667,0.848281,0.6875,0.975,0.86051,0.8,0.9625
56,0.934723,0.65,0.818177,0.7625,0.975,0.881736,0.75,0.9625
57,1.16348,0.608333,0.847691,0.775,0.9625,0.922306,0.7625,0.9625
58,1.221057,0.5875,0.77992,0.8,0.9625,0.772724,0.825,0.9875
59,1.137156,0.570833,0.897551,0.7625,0.975,0.85168,0.7625,0.9875
60,1.012229,0.641667,0.875298,0.725,0.9375,0.874943,0.8125,0.9625
61,1.278212,0.55,0.713902,0.8,0.9875,0.760881,0.8,0.9875
62,1.081783,0.608333,0.708257,0.8,0.9875,0.734502,0.8125,0.975
63,1.021739,0.633333,0.747263,0.775,0.9875,0.693589,0.825,0.9625
64,0.922396,0.6625,0.74202,0.7625,0.9875,0.744314,0.825,0.975
65,1.004651,0.641667,0.759223,0.75,0.975,0.70783,0.7875,0.9875
66,0.973846,0.6375,0.709241,0.7875,0.9875,0.759939,0.775,0.9875
67,0.989051,0.65,0.668655,0.7875,0.9875,0.691253,0.8,1.0
68,0.882469,0.645833,0.632568,0.8375,0.975,0.624402,0.8375,1.0
69,0.865295,0.691667,0.696278,0.825,0.9625,0.654423,0.7875,1.0
70,0.968478,0.675,0.715743,0.7625,0.975,0.712934,0.7625,1.0
71,0.900183,0.7,0.667676,0.7625,0.975,0.655015,0.775,0.9875
72,0.95822,0.65,0.700073,0.7625,0.9875,0.688001,0.7625,1.0
73,1.034624,0.616667,0.665333,0.85,0.9875,0.619019,0.8,1.0
74,0.799546,0.7375,0.67794,0.8,0.975,0.608953,0.7875,0.9875
75,0.899528,0.670833,0.638998,0.8375,0.9875,0.639793,0.8,0.9875
76,0.950721,0.691667,0.619501,0.8375,0.9875,0.645864,0.775,1.0
77,0.860822,0.691667,0.63712,0.8125,0.9875,0.597997,0.825,1.0
78,0.853251,0.716667,0.575019,0.8125,0.9875,0.588851,0.825,1.0
79,0.853885,0.670833,0.595981,0.8125,0.9875,0.578451,0.8125,0.9875
80,0.771574,0.7125,0.609359,0.85,0.95,0.635129,0.775,1.0
81,0.886326,0.720833,0.615643,0.85,0.975,0.602855,0.8,1.0
82,0.760077,0.725,0.603673,0.8,0.9875,0.638709,0.775,1.0
83,0.689537,0.766667,0.544403,0.8875,0.9875,0.673352,0.8,1.0
84,0.715238,0.770833,0.583845,0.825,0.975,0.617554,0.8125,1.0
85,0.762286,0.741667,0.58908,0.7875,0.9875,0.571168,0.825,1.0
86,0.879077,0.720833,0.56977,0.8125,0.9875,0.630869,0.825,0.9875
87,0.800946,0.7375,0.612343,0.8125,0.9875,0.737371,0.7625,0.9875
88,0.688768,0.766667,0.653074,0.7875,0.95,0.725221,0.775,0.9875
89,0.913355,0.708333,0.62766,0.8,0.9625,0.737847,0.7875,0.9875
90,0.922707,0.7,0.730392,0.775,0.95,0.648057,0.8,0.975
91,0.888585,0.691667,0.580464,0.8,0.975,0.616314,0.7625,0.9875
92,0.737369,0.720833,0.512887,0.8375,0.9875,0.572704,0.8125,1.0
93,0.792451,0.729167,0.572956,0.7875,0.9875,0.635755,0.8125,1.0
94,0.793033,0.704167,0.523735,0.8375,0.9875,0.628768,0.775,0.9875
95,0.907562,0.7,0.64033,0.7875,0.975,0.77138,0.7375,1.0
96,0.819917,0.704167,0.599648,0.8,0.975,0.710007,0.7875,1.0
97,0.809945,0.766667,0.630935,0.8125,0.9625,0.703903,0.825,1.0
98,0.751115,0.766667,0.627099,0.8,0.95,0.692043,0.825,0.9875
99,0.764793,0.7375,0.542951,0.8375,0.9875,0.632639,0.8125,0.9875
100,0.86245,0.7125,0.565608,0.8375,0.9875,0.671329,0.7875,1.0
