epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689416,0.025,3.688713,0.0375,0.1375,3.688641,0.025,0.15
2,3.68948,0.041667,3.688247,0.025,0.1375,3.688202,0.0375,0.125
3,3.687091,0.020833,3.687625,0.025,0.125,3.687604,0.0375,0.15
4,3.687086,0.020833,3.686883,0.025,0.125,3.686868,0.0375,0.1375
5,3.686824,0.033333,3.686066,0.025,0.1625,3.686029,0.0375,0.1625
6,3.684331,0.0375,3.685118,0.0375,0.1625,3.685076,0.0375,0.175
7,3.684925,0.016667,3.684116,0.0625,0.1875,3.684064,0.0375,0.175
8,3.683043,0.045833,3.683047,0.0875,0.1875,3.682956,0.05,0.2125
9,3.682282,0.0375,3.681783,0.075,0.1875,3.681684,0.0625,0.2125
10,3.683474,0.041667,3.680381,0.075,0.2,3.680322,0.0625,0.2
11,3.679,0.058333,3.678815,0.0875,0.2375,3.678771,0.075,0.2375
12,3.677463,0.045833,3.676972,0.0875,0.225,3.676921,0.075,0.2375
13,3.675824,0.058333,3.674852,0.0625,0.2125,3.674763,0.0625,0.2375
14,3.674588,0.05,3.672311,0.075,0.2125,3.672195,0.0625,0.25
15,3.670828,0.054167,3.669272,0.1125,0.2125,3.669118,0.0875,0.2125
16,3.66736,0.066667,3.665478,0.1,0.2,3.66527,0.1,0.2375
17,3.663183,0.058333,3.660918,0.1,0.2,3.660639,0.1,0.225
18,3.656891,0.05,3.655144,0.1,0.225,3.654774,0.0875,0.2
19,3.650881,0.058333,3.647846,0.1,0.225,3.647427,0.0875,0.2125
20,3.643977,0.041667,3.638706,0.1,0.25,3.638057,0.0875,0.225
21,3.635604,0.066667,3.62719,0.1,0.25,3.626154,0.0875,0.2125
22,3.615425,0.075,3.611588,0.1,0.2125,3.61031,0.0875,0.225
23,3.608901,0.058333,3.591102,0.1,0.225,3.589773,0.0875,0.2125
24,3.581938,0.0625,3.564747,0.1,0.225,3.563428,0.0875,0.225
25,3.557432,0.079167,3.530251,0.1,0.2625,3.529485,0.0875,0.2625
26,3.52011,0.083333,3.485845,0.1,0.25,3.485319,0.0875,0.25
27,3.47731,0.0875,3.427658,0.1,0.2375,3.42779,0.1,0.25
28,3.408078,0.095833,3.348371,0.1125,0.2875,3.34841,0.1,0.325
29,3.356483,0.075,3.241662,0.125,0.4875,3.239508,0.1125,0.4625
30,3.228739,0.133333,3.100625,0.1625,0.5375,3.097419,0.2,0.5625
31,3.130512,0.154167,2.918452,0.2125,0.6375,2.912712,0.25,0.675
32,2.96681,0.1625,2.696693,0.275,0.625,2.688243,0.325,0.6875
33,2.740874,0.2625,2.452863,0.3,0.6875,2.429388,0.35,0.75
34,2.537856,0.2375,2.227476,0.4125,0.7,2.162069,0.4875,0.8125
35,2.474762,0.2375,2.00673,0.3875,0.8375,1.939059,0.45,0.8375
36,2.183703,0.375,1.846527,0.475,0.8875,1.723495,0.5875,0.9
37,2.070609,0.358333,1.682843,0.575,0.8875,1.586168,0.575,0.875
38,1.867165,0.383333,1.585396,0.5125,0.9,1.512531,0.6,0.875
39,1.737154,0.441667,1.522548,0.5,0.8625,1.456051,0.6,0.8875
40,1.593094,0.483333,1.423775,0.5625,0.9,1.34847,0.65,0.9375
41,1.563043,0.5125,1.286667,0.5875,0.925,1.160924,0.675,0.9375
42,1.313643,0.5875,1.322154,0.5875,0.9125,1.202729,0.6125,0.95
43,1.294909,0.579167,1.244674,0.6625,0.9125,1.242618,0.675,0.925
44,1.31082,0.5875,1.143727,0.6625,0.975,1.036747,0.75,0.9375
45,1.337436,0.554167,1.161177,0.65,0.9375,1.143951,0.6625,0.95
46,1.245478,0.575,1.021217,0.725,0.95,0.993201,0.6875,0.975
47,1.266187,0.616667,0.985837,0.7,0.9375,0.914992,0.775,0.9875
48,1.147805,0.6375,0.937589,0.725,0.9375,0.908787,0.775,0.9625
49,1.034712,0.658333,0.959167,0.6375,0.95,0.911632,0.75,0.9875
50,0.993787,0.683333,0.902566,0.7375,0.95,0.877876,0.725,0.975
51,0.939831,0.683333,0.849819,0.7375,0.95,0.815873,0.75,0.9625
52,0.954581,0.708333,0.860407,0.7125,0.95,0.7713,0.7625,0.975
53,0.984989,0.708333,0.870635,0.7125,0.95,0.888772,0.7625,0.9625
54,0.806933,0.704167,0.797945,0.775,0.9625,0.819966,0.8,0.9625
55,0.997642,0.670833,0.717747,0.8125,0.9625,0.78337,0.7875,0.975
56,0.800846,0.7625,0.747249,0.8125,0.95,0.77804,0.775,0.975
57,0.856572,0.716667,0.765595,0.8,0.95,0.863545,0.7375,0.975
58,0.853623,0.733333,0.782569,0.725,0.9625,0.829241,0.7875,0.9875
59,0.889143,0.741667,0.735448,0.7875,0.9625,0.771165,0.7875,0.975
60,0.88044,0.695833,0.747869,0.8125,0.9625,0.902422,0.7625,0.9625
61,0.884066,0.683333,0.793906,0.7875,0.9625,0.866213,0.75,0.975
62,0.817691,0.708333,0.728351,0.7625,0.95,0.846062,0.7625,0.975
63,0.830479,0.725,0.666378,0.775,0.95,0.709805,0.8,1.0
64,0.639977,0.779167,0.714306,0.7375,0.975,0.670971,0.8125,0.9875
65,0.805398,0.754167,0.610725,0.8125,0.9875,0.676293,0.8,0.9875
66,0.762486,0.7375,0.577649,0.8375,0.9625,0.703908,0.8125,0.9875
67,0.722603,0.75,0.684187,0.8,0.9625,0.802746,0.8,0.9875
68,0.663592,0.770833,0.69617,0.75,0.9875,0.834145,0.8125,0.975
69,0.68601,0.741667,0.543871,0.8125,0.975,0.649441,0.8,1.0
70,0.710593,0.741667,0.5516,0.8375,0.95,0.715651,0.8125,0.975
71,0.682105,0.766667,0.660814,0.8125,0.9375,0.840774,0.8125,0.9625
72,0.746949,0.775,0.605572,0.825,0.9625,0.686335,0.8,0.975
73,0.756684,0.770833,0.613004,0.7875,0.975,0.732447,0.8,0.975
74,0.648101,0.775,0.645628,0.825,0.975,0.779,0.7875,0.9875
75,0.718035,0.741667,0.609701,0.7875,0.9625,0.852617,0.7625,0.9875
76,0.684263,0.791667,0.707516,0.75,0.9625,0.953191,0.775,0.975
77,0.75468,0.725,0.721543,0.725,0.9875,0.830206,0.8,0.9875
78,0.811046,0.725,0.609496,0.8125,0.9875,0.75123,0.8375,0.9875
79,0.796668,0.7375,0.550542,0.8,0.9875,0.785248,0.7875,0.9875
80,0.809035,0.770833,0.558518,0.8125,0.9875,0.722759,0.8,1.0
81,0.639654,0.766667,0.651742,0.7875,0.9875,0.767168,0.8125,0.9875
82,0.813554,0.725,0.602639,0.7875,0.9625,0.677172,0.825,0.9875
83,0.746587,0.725,0.625334,0.825,0.9625,0.729141,0.8125,0.9875
84,0.689827,0.808333,0.630814,0.8125,0.9625,0.819525,0.8125,0.975
85,0.670608,0.775,0.565376,0.8,0.9625,0.793763,0.8375,0.9625
86,0.643084,0.791667,0.542787,0.85,0.9625,0.826591,0.8,0.95
