epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.69034,0.020833,3.688468,0.0375,0.15,3.68793,0.025,0.1375
2,3.690062,0.041667,3.687716,0.025,0.175,3.68719,0.0125,0.1625
3,3.685805,0.0375,3.686797,0.025,0.175,3.686227,0.0125,0.175
4,3.686087,0.029167,3.68578,0.025,0.1875,3.685272,0.025,0.1875
5,3.685651,0.029167,3.6848,0.05,0.1875,3.684269,0.0125,0.2
6,3.682372,0.0375,3.683728,0.05,0.2125,3.683136,0.025,0.2125
7,3.683434,0.05,3.68258,0.0625,0.2125,3.681891,0.0375,0.2375
8,3.681182,0.0375,3.681155,0.075,0.225,3.680439,0.05,0.2125
9,3.679915,0.045833,3.679501,0.075,0.2625,3.678727,0.05,0.225
10,3.681831,0.0375,3.677715,0.075,0.2625,3.676914,0.0625,0.225
11,3.675023,0.041667,3.675685,0.0625,0.275,3.67486,0.05,0.25
12,3.674213,0.0375,3.673286,0.05,0.2875,3.672443,0.05,0.2375
13,3.670899,0.041667,3.670528,0.05,0.2375,3.66966,0.05,0.2125
14,3.670661,0.05,3.667194,0.05,0.2375,3.666197,0.05,0.2
15,3.666276,0.054167,3.663133,0.05,0.2375,3.662071,0.05,0.225
16,3.66313,0.058333,3.658046,0.05,0.225,3.656956,0.05,0.2
17,3.654991,0.041667,3.651899,0.05,0.25,3.650802,0.05,0.2125
18,3.649742,0.041667,3.64413,0.05,0.2125,3.643057,0.05,0.1875
19,3.639782,0.05,3.634223,0.05,0.2375,3.633357,0.05,0.2
20,3.634402,0.033333,3.622165,0.0875,0.2,3.621438,0.075,0.1875
21,3.619239,0.066667,3.60686,0.1,0.1875,3.606364,0.1,0.2
22,3.600499,0.0625,3.586396,0.1,0.1875,3.58606,0.1,0.2
23,3.582957,0.0625,3.559407,0.0875,0.2125,3.559659,0.1,0.2
24,3.556882,0.0625,3.525049,0.0875,0.225,3.525961,0.0875,0.2375
25,3.525682,0.075,3.47873,0.1,0.2375,3.480961,0.1,0.25
26,3.474548,0.091667,3.416055,0.125,0.4,3.420697,0.1125,0.35
27,3.42489,0.079167,3.328578,0.125,0.4,3.336933,0.125,0.45
28,3.325828,0.120833,3.201117,0.1125,0.5625,3.21215,0.175,0.625
29,3.213376,0.129167,3.030098,0.25,0.6625,3.040766,0.25,0.6875
30,3.055337,0.195833,2.813603,0.275,0.6625,2.81904,0.25,0.75
31,2.855865,0.208333,2.553175,0.3375,0.7125,2.54455,0.3875,0.775
32,2.673875,0.225,2.252281,0.3625,0.875,2.222815,0.4375,0.9
33,2.400349,0.304167,1.965829,0.4125,0.875,1.915246,0.5625,0.8875
