epoch,train_loss,train_acc,val_loss,val_acc,val_top5_acc,test_loss,test_acc,test_top5_acc
1,3.689792,0.020833,3.688499,0.0375,0.1375,3.688213,0.025,0.15
2,3.689526,0.041667,3.687898,0.025,0.15,3.687641,0.025,0.15
3,3.686234,0.025,3.687135,0.0375,0.15,3.686929,0.025,0.1625
4,3.686473,0.025,3.686205,0.0375,0.175,3.686059,0.025,0.1625
5,3.685893,0.0375,3.685239,0.0375,0.175,3.68509,0.0375,0.2
6,3.683181,0.041667,3.684222,0.0375,0.1875,3.684061,0.0125,0.2
7,3.684012,0.029167,3.683205,0.0375,0.1625,3.682961,0.0375,0.1875
8,3.681827,0.033333,3.681996,0.0625,0.175,3.6817,0.0625,0.1875
9,3.681184,0.033333,3.680535,0.0625,0.2125,3.68026,0.0625,0.2125
10,3.682289,0.029167,3.678952,0.05,0.225,3.67871,0.0625,0.25
11,3.676734,0.054167,3.677146,0.075,0.25,3.67694,0.0625,0.225
12,3.675807,0.041667,3.67505,0.0625,0.2625,3.674839,0.05,0.2375
13,3.673131,0.075,3.672576,0.075,0.25,3.672379,0.05,0.25
14,3.672438,0.054167,3.669666,0.075,0.2625,3.669425,0.0625,0.275
15,3.668649,0.054167,3.666125,0.075,0.275,3.66589,0.0625,0.2875
16,3.664953,0.070833,3.661687,0.075,0.2625,3.661421,0.0625,0.275
17,3.658408,0.058333,3.656232,0.075,0.275,3.655933,0.0625,0.2625
18,3.653312,0.041667,3.649224,0.1,0.2375,3.648956,0.075,0.2625
19,3.643756,0.0625,3.640167,0.1,0.2375,3.640065,0.075,0.25
20,3.638361,0.0375,3.628803,0.1,0.2375,3.628767,0.0875,0.2375
21,3.624549,0.066667,3.614549,0.0875,0.2375,3.614496,0.0875,0.2375
22,3.604947,0.054167,3.595695,0.0875,0.2125,3.595598,0.0875,0.225
23,3.593071,0.066667,3.571295,0.0875,0.25,3.57136,0.0875,0.2375
24,3.564689,0.066667,3.54011,0.0875,0.175,3.540826,0.0875,0.2125
25,3.535753,0.091667,3.498967,0.0875,0.225,3.500676,0.0875,0.2625
26,3.490379,0.091667,3.443913,0.1125,0.275,3.447436,0.1,0.25
27,3.446903,0.0875,3.368088,0.1125,0.325,3.373841,0.1125,0.3375
28,3.358505,0.091667,3.260283,0.1125,0.4875,3.267565,0.125,0.4625
29,3.267462,0.104167,3.117804,0.2,0.6,3.123734,0.225,0.5875
30,3.12341,0.170833,2.930874,0.25,0.65,2.937598,0.25,0.725
31,2.964148,0.195833,2.693662,0.3,0.675,2.694202,0.325,0.75
32,2.776464,0.208333,2.43371,0.3125,0.7125,2.413685,0.375,0.7875
33,2.519197,0.316667,2.140575,0.4125,0.775,2.097667,0.5,0.875
34,2.321796,0.283333,1.94352,0.3875,0.85,1.881208,0.55,0.85
35,2.287751,0.295833,1.733725,0.5375,0.925,1.684205,0.5875,0.875
36,1.953547,0.383333,1.70607,0.4625,0.8875,1.57617,0.55,0.9375
37,1.985651,0.354167,1.5601,0.525,0.8625,1.467746,0.5375,0.9125
38,1.714875,0.454167,1.466933,0.55,0.9375,1.378414,0.5875,0.925
39,1.609027,0.4875,1.27829,0.65,0.875,1.19113,0.6625,0.9125
