dataset,dataset_root,checkpoint,samples,num_classes,test_loss,top1_acc,top5_acc,best_epoch,checkpoint_best_val_acc,device
dp_pix_b2_eps0_1,data/dp/dp_pix_b2/eps0.1,checkpoints/dp_pix_b2_eps0_1.pth,80,40,3.685256,0.0875,0.15,97,0.075,mps
dp_pix_b4_eps0_1,data/dp/dp_pix_b4/eps0.1,checkpoints/dp_pix_b4_eps0_1.pth,80,40,2.50068,0.3,0.625,86,0.3,mps
dp_pix_b8_eps0_1,data/dp/dp_pix_b8/eps0.1,checkpoints/dp_pix_b8_eps0_1.pth,80,40,2.00056,0.5,0.8375,98,0.4125,mps
dp_pix_b16_eps0_1,data/dp/dp_pix_b16/eps0.1,checkpoints/dp_pix_b16_eps0_1.pth,80,40,1.32672,0.575,0.9375,80,0.675,mps
lp_blur_k45_eps0_1,data/dp/lp_blur/k45_eps0.1,checkpoints/lp_blur_k45_eps0_1.pth,80,40,0.750865,0.8375,0.975,99,0.8875,mps
dp_blur_split_k45_eps0_1,data/dp/dp_blur_split/k45_eps0.1,checkpoints/dp_blur_split_k45_eps0_1.pth,80,40,3.689141,0.025,0.1125,78,0.0375,mps
dp_pix_b2_eps0_3,data/dp/dp_pix_b2/eps0.3,checkpoints/dp_pix_b2_eps0_3.pth,80,40,1.926979,0.425,0.7625,89,0.475,mps
dp_pix_b4_eps0_3,data/dp/dp_pix_b4/eps0.3,checkpoints/dp_pix_b4_eps0_3.pth,80,40,1.053805,0.6375,0.9625,92,0.7,mps
dp_pix_b8_eps0_3,data/dp/dp_pix_b8/eps0.3,checkpoints/dp_pix_b8_eps0_3.pth,80,40,1.188197,0.65,0.9375,68,0.75,mps
dp_pix_b16_eps0_3,data/dp/dp_pix_b16/eps0.3,checkpoints/dp_pix_b16_eps0_3.pth,80,40,0.639625,0.8375,0.975,95,0.875,mps
lp_blur_k45_eps0_3,data/dp/lp_blur/k45_eps0.3,checkpoints/lp_blur_k45_eps0_3.pth,80,40,0.629485,0.8625,1.0,100,0.8375,mps
dp_blur_split_k45_eps0_3,data/dp/dp_blur_split/k45_eps0.3,checkpoints/dp_blur_split_k45_eps0_3.pth,80,40,3.68892,0.025,0.125,100,0.025,mps
dp_pix_b2_eps0_5,data/dp/dp_pix_b2/eps0.5,checkpoints/dp_pix_b2_eps0_5.pth,80,40,1.167302,0.6875,0.9625,100,0.6625,mps
dp_pix_b4_eps0_5,data/dp/dp_pix_b4/eps0.5,checkpoints/dp_pix_b4_eps0_5.pth,80,40,0.883192,0.6875,0.9875,95,0.7875,mps
dp_pix_b8_eps0_5,data/dp/dp_pix_b8/eps0.5,checkpoints/dp_pix_b8_eps0_5.pth,80,40,0.844785,0.7875,0.975,75,0.8375,mps
