dataset,class_id,class_name,test_count,correct,top1_acc
blur_k45,0,s1,2,1,0.5
blur_k45,1,s2,2,2,1.0
blur_k45,2,s3,2,2,1.0
blur_k45,3,s4,2,1,0.5
blur_k45,4,s5,2,2,1.0
blur_k45,5,s6,2,2,1.0
blur_k45,6,s7,2,2,1.0
blur_k45,7,s8,2,2,1.0
blur_k45,8,s9,2,2,1.0
blur_k45,9,s10,2,2,1.0
blur_k45,10,s11,2,2,1.0
blur_k45,11,s12,2,2,1.0
blur_k45,12,s13,2,0,0.0
blur_k45,13,s14,2,2,1.0
blur_k45,14,s15,2,2,1.0
blur_k45,15,s16,2,1,0.5
blur_k45,16,s17,2,2,1.0
blur_k45,17,s18,2,2,1.0
blur_k45,18,s19,2,2,1.0
blur_k45,19,s20,2,2,1.0
blur_k45,20,s21,2,2,1.0
blur_k45,21,s22,2,2,1.0
blur_k45,22,s23,2,2,1.0
blur_k45,23,s24,2,2,1.0
blur_k45,24,s25,2,2,1.0
blur_k45,25,s26,2,2,1.0
blur_k45,26,s27,2,2,1.0
blur_k45,27,s28,2,1,0.5
blur_k45,28,s29,2,2,1.0
blur_k45,29,s30,2,2,1.0
blur_k45,30,s31,2,2,1.0
blur_k45,31,s32,2,2,1.0
blur_k45,32,s33,2,1,0.5
blur_k45,33,s34,2,2,1.0
blur_k45,34,s35,2,1,0.5
blur_k45,35,s36,2,2,1.0
blur_k45,36,s37,2,2,1.0
blur_k45,37,s38,2,2,1.0
blur_k45,38,s39,2,2,1.0
blur_k45,39,s40,2,1,0.5
