alsdataset,class_id,class_name,test_count,correct,top1_acc
pix_b16,0,s1,2,1,0.5
pix_b16,1,s2,2,2,1.0
pix_b16,2,s3,2,2,1.0
pix_b16,3,s4,2,1,0.5
pix_b16,4,s5,2,1,0.5
pix_b16,5,s6,2,2,1.0
pix_b16,6,s7,2,2,1.0
pix_b16,7,s8,2,2,1.0
pix_b16,8,s9,2,2,1.0
pix_b16,9,s10,2,2,1.0
pix_b16,10,s11,2,2,1.0
pix_b16,11,s12,2,2,1.0
pix_b16,12,s13,2,2,1.0
pix_b16,13,s14,2,2,1.0
pix_b16,14,s15,2,2,1.0
pix_b16,15,s16,2,1,0.5
pix_b16,16,s17,2,2,1.0
pix_b16,17,s18,2,2,1.0
pix_b16,18,s19,2,2,1.0
pix_b16,19,s20,2,2,1.0
pix_b16,20,s21,2,2,1.0
pix_b16,21,s22,2,2,1.0
pix_b16,22,s23,2,2,1.0
pix_b16,23,s24,2,2,1.0
pix_b16,24,s25,2,2,1.0
pix_b16,25,s26,2,2,1.0
pix_b16,26,s27,2,2,1.0
pix_b16,27,s28,2,1,0.5
pix_b16,28,s29,2,2,1.0
pix_b16,29,s30,2,2,1.0
pix_b16,30,s31,2,2,1.0
pix_b16,31,s32,2,2,1.0
pix_b16,32,s33,2,2,1.0
pix_b16,33,s34,2,2,1.0
pix_b16,34,s35,2,0,0.0
pix_b16,35,s36,2,2,1.0
pix_b16,36,s37,2,2,1.0
pix_b16,37,s38,2,2,1.0
pix_b16,38,s39,2,2,1.0
pix_b16,39,s40,2,1,0.5
